npts,vid,t1,t2,xcc,ycc,xycc,subj1,subj2,spec1,spec2
553,tv-talk05,1043o,1038o,0.03969305056772442,0.038281289846610736,0.038987170207167576,Ueno,Ueno,macaq,macaq
553,tv-talk05,1139o,1038o,0.11756175550351972,-0.11452842088888661,0.0015166673073165535,Ojo,Ueno,macaq,macaq
553,tv-talk05,1139o,1043o,-0.06999434359335734,-0.053482399528384954,-0.06173837156087114,Ojo,Ueno,macaq,macaq
553,tv-talk05,1258o,1038o,0.09330049364840065,-0.13309873125713412,-0.019899118804366733,Ojo,Ueno,macaq,macaq
553,tv-talk05,1258o,1043o,-0.04475111503194115,-0.13334089512710856,-0.08904600507952486,Ojo,Ueno,macaq,macaq
553,tv-talk05,1258o,1139o,0.2754658659173015,0.1736494352218924,0.22455765056959695,Ojo,Ojo,macaq,macaq
553,tv-talk05,126o,1038o,-0.2293967358345215,-0.1806532633506278,-0.20502499959257464,HH0293,Ueno,marmo,macaq
553,tv-talk05,126o,1043o,-0.017085391703377598,-0.2126450787638405,-0.11486523523360906,HH0293,Ueno,marmo,macaq
553,tv-talk05,126o,1139o,0.10981106316506345,0.07989130788098782,0.09485118552302563,HH0293,Ojo,marmo,macaq
553,tv-talk05,126o,1258o,0.09173789757590764,0.02699826992259035,0.059368083749249,HH0293,Ojo,marmo,macaq
553,tv-talk05,189o,1038o,0.060987989134932565,0.018327221329820176,0.03965760523237637,HH0310,Ueno,marmo,macaq
553,tv-talk05,189o,1043o,-0.10601724100183862,0.08325434910059704,-0.011381445950620794,HH0310,Ueno,marmo,macaq
553,tv-talk05,189o,1139o,0.12761288584026367,0.06250370455400729,0.09505829519713549,HH0310,Ojo,marmo,macaq
553,tv-talk05,189o,1258o,-0.06770329270098223,0.05657519019360179,-0.0055640512536902186,HH0310,Ojo,marmo,macaq
553,tv-talk05,189o,126o,0.17159157614431833,0.1313306632710312,0.15146111970767479,HH0310,HH0293,marmo,marmo
553,tv-talk05,310o,1038o,0.04349991386488114,0.049853873965299625,0.04667689391509038,HH0310,Ueno,marmo,macaq
553,tv-talk05,310o,1043o,-0.007645032182011077,-0.17344984156382004,-0.09054743687291555,HH0310,Ueno,marmo,macaq
553,tv-talk05,310o,1139o,-0.33401412444844075,-0.058367302759730684,-0.19619071360408571,HH0310,Ojo,marmo,macaq
553,tv-talk05,310o,1258o,-0.03254206530449446,-0.05622351411337694,-0.0443827897089357,HH0310,Ojo,marmo,macaq
553,tv-talk05,310o,126o,-0.2571249765957507,0.20809972295290544,-0.02451262682142262,HH0310,HH0293,marmo,marmo
553,tv-talk05,310o,189o,-0.17494280118564814,0.15028772832721288,-0.012327536429217634,HH0310,HH0310,marmo,marmo
553,tv-talk05,333o,1038o,-0.008249531398101,-0.012158899168085942,-0.010204215283093471,HH0301,Ueno,marmo,macaq
553,tv-talk05,333o,1043o,0.22535754348063,0.3004941680825945,0.26292585578161226,HH0301,Ueno,marmo,macaq
553,tv-talk05,333o,1139o,-0.2352429837031272,-0.054974361318192305,-0.14510867251065976,HH0301,Ojo,marmo,macaq
553,tv-talk05,333o,1258o,-0.14872072855750293,-0.1271807883476701,-0.13795075845258653,HH0301,Ojo,marmo,macaq
553,tv-talk05,333o,126o,0.07995259972174491,-0.06103037326039427,0.009461113230675323,HH0301,HH0293,marmo,marmo
553,tv-talk05,333o,189o,-0.26934463338453074,0.2553217648163604,-0.007011434284085183,HH0301,HH0310,marmo,marmo
553,tv-talk05,333o,310o,0.11531424562089004,-0.019025481500144804,0.04814438206037262,HH0301,HH0310,marmo,marmo
553,tv-talk05,338o,1038o,0.07463585005759452,-0.05207087637897975,0.011282486839307382,HH0301,Ueno,marmo,macaq
553,tv-talk05,338o,1043o,0.12102766397764216,0.24647613006774674,0.18375189702269445,HH0301,Ueno,marmo,macaq
553,tv-talk05,338o,1139o,-0.24214969897207989,0.014823436623944032,-0.11366313117406793,HH0301,Ojo,marmo,macaq
553,tv-talk05,338o,1258o,-0.1771261157765009,0.027633771504009506,-0.0747461721362457,HH0301,Ojo,marmo,macaq
553,tv-talk05,338o,126o,-0.02225519893851902,-0.01590542837541032,-0.01908031365696467,HH0301,HH0293,marmo,marmo
553,tv-talk05,338o,189o,-0.00447408949173858,0.07689813074495742,0.03621202062660942,HH0301,HH0310,marmo,marmo
553,tv-talk05,338o,310o,-0.016454759918481512,-0.14977409491056667,-0.0831144274145241,HH0301,HH0310,marmo,marmo
553,tv-talk05,338o,333o,0.13762206315677364,0.2077374474185132,0.1726797552876434,HH0301,HH0301,marmo,marmo
553,tv-talk05,410o,1038o,0.4130813966845818,-0.23585905860202666,0.08861116904127758,Denis,Ueno,human,macaq
553,tv-talk05,410o,1043o,0.12040738646776752,-0.014552826216988871,0.052927280125389324,Denis,Ueno,human,macaq
553,tv-talk05,410o,1139o,0.2842411894802576,0.016783736535201287,0.15051246300772944,Denis,Ojo,human,macaq
553,tv-talk05,410o,1258o,-0.017197411360580384,0.08931848575118218,0.0360605371953009,Denis,Ojo,human,macaq
553,tv-talk05,410o,126o,-0.2986345494241718,0.07761834261615058,-0.1105081034040106,Denis,HH0293,human,marmo
