subj date trialcsv
Julian 2022-09-14 salient_movieclip_wajd_Julian_202209_14121132.csv
Julian 2022-09-14 salient_movieclip_wajd_Julian_202209_14121658.csv
Julian 2022-09-15 salient_movieclip_wajd_Julian_202209_15124300.csv
Julian 2022-09-15 salient_movieclip_wajd_Julian_202209_15123727.csv
Julian 2022-09-26 salient_movieclip_wajd_Julian_202209_26124500.csv
Julian 2022-09-26 salient_movieclip_wajd_Julian_202209_26125039.csv
Julian 2022-09-27 salient_movieclip_wajd_Julian_202209_27132310.csv
Julian 2022-09-27 salient_movieclip_wajd_Julian_202209_27131656.csv
Julian 2022-09-28 salient_movieclip_wajd_Julian_202209_28124536.csv
Julian 2022-09-28 salient_movieclip_wajd_Julian_202209_28124639.csv
Julian 2022-09-30 salient_movieclip_wajd_Julian_202209_30115133.csv
Julian 2022-10-03 salient_movieclip_wajd_Julian_202210_03122753.csv
Julian 2022-10-03 salient_movieclip_wajd_Julian_202210_03122445.csv
Julian 2022-10-04 salient_movieclip_wajd_Julian_202210_04122920.csv
Julian 2022-10-04 salient_movieclip_wajd_Julian_202210_04123551.csv
Julian 2022-10-05 salient_movieclip_wajd_Julian_202210_05142235.csv
Julian 2022-10-05 salient_movieclip_wajd_Julian_202210_05142143.csv
Julian 2022-10-06 salient_movieclip_wajd_Julian_202210_06113221.csv
Julian 2022-10-06 salient_movieclip_wajd_Julian_202210_06113152.csv
Julian 2022-10-06 salient_movieclip_wajd_Julian_202210_06112900.csv
Julian 2022-10-07 salient_movieclip_wajd_Julian_202210_07121923.csv
Julian 2022-10-07 salient_movieclip_wajd_Julian_202210_07122647.csv
Julian 2022-10-11 salient_movieclip_wajd_Julian_202210_11123618.csv
Julian 2022-10-11 salient_movieclip_wajd_Julian_202210_11124349.csv
Julian 2022-10-12 salient_movieclip_wajd_Julian_202210_12135807.csv
Julian 2022-10-12 salient_movieclip_wajd_Julian_202210_12135837.csv
Julian 2022-10-12 salient_movieclip_wajd_Julian_202210_12135215.csv
Julian 2022-10-13 salient_movieclip_wajd_Julian_202210_13141935.csv
Julian 2022-10-13 salient_movieclip_wajd_Julian_202210_13141842.csv
Julian 2022-10-14 salient_movieclip_wajd_Julian_202210_14133740.csv
Julian 2022-10-14 salient_movieclip_wajd_Julian_202210_14133651.csv
Julian 2022-10-18 salient_movieclip_wajd_Julian_202210_18131423.csv
Julian 2022-10-18 salient_movieclip_wajd_Julian_202210_18130721.csv
Julian 2022-10-20 salient_movieclip_wajd_Julian_202210_20123014.csv
Julian 2022-10-20 salient_movieclip_wajd_Julian_202210_20123108.csv
Julian 2022-10-21 salient_movieclip_wajd_Julian_202210_21124339.csv
Julian 2022-10-21 salient_movieclip_wajd_Julian_202210_21123439.csv
Julian 2022-10-24 salient_movieclip_wajd_Julian_202210_24124333.csv
Julian 2022-10-24 salient_movieclip_wajd_Julian_202210_24124255.csv
Julian 2022-10-25 salient_movieclip_wajd_Julian_202210_25123905.csv
Julian 2022-10-25 salient_movieclip_wajd_Julian_202210_25123120.csv
Julian 2022-10-25 salient_movieclip_wajd_Julian_202210_25124640.csv
Julian 2022-10-26 salient_movieclip_wajd_Julian_202210_26131513.csv
Julian 2022-10-26 salient_movieclip_wajd_Julian_202210_26130612.csv
Julian 2022-10-26 salient_movieclip_wajd_Julian_202210_26132249.csv
Julian 2022-10-27 salient_movieclip_wajd_Julian_202210_27124246.csv
Julian 2022-10-27 salient_movieclip_wajd_Julian_202210_27124914.csv
Julian 2022-10-27 salient_movieclip_wajd_Julian_202210_27123210.csv
Julian 2022-10-28 salient_movieclip_wajd_Julian_202210_28124939.csv
Julian 2022-10-28 salient_movieclip_wajd_Julian_202210_28123012.csv
Julian 2022-10-28 salient_movieclip_wajd_Julian_202210_28124413.csv
Julian 2022-11-01 salient_movieclip_wajd_Julian_202211_01125118.csv
Julian 2022-11-01 salient_movieclip_wajd_Julian_202211_01123036.csv
Julian 2022-11-01 salient_movieclip_wajd_Julian_202211_01124300.csv
Julian 2022-11-02 salient_movieclip_wajd_Julian_202211_02125517.csv
Julian 2022-11-02 salient_movieclip_wajd_Julian_202211_02123039.csv
Julian 2022-11-02 salient_movieclip_wajd_Julian_202211_02125447.csv
Julian 2022-11-02 salient_movieclip_wajd_Julian_202211_02124220.csv
Julian 2022-11-03 salient_movieclip_wajd_Julian_202211_03123949.csv
Julian 2022-11-03 salient_movieclip_wajd_Julian_202211_03124738.csv
Julian 2022-11-03 salient_movieclip_wajd_Julian_202211_03122857.csv
Julian 2022-11-04 salient_movieclip_wajd_Julian_202211_04124513.csv
Julian 2022-11-04 salient_movieclip_wajd_Julian_202211_04123313.csv
Julian 2022-11-04 salient_movieclip_wajd_Julian_202211_04124133.csv
Julian 2022-11-07 salient_movieclip_wajd_Julian_202211_07124850.csv
Julian 2022-11-07 salient_movieclip_wajd_Julian_202211_07124430.csv
Julian 2022-11-07 salient_movieclip_wajd_Julian_202211_07123917.csv
Julian 2022-11-08 salient_movieclip_wajd_Julian_202211_08124030.csv
Julian 2022-11-08 salient_movieclip_wajd_Julian_202211_08124306.csv
Julian 2022-11-08 salient_movieclip_wajd_Julian_202211_08123620.csv
Julian 2022-11-09 salient_movieclip_wajd_Julian_202211_09124408.csv
Julian 2022-11-09 salient_movieclip_wajd_Julian_202211_09123755.csv
Julian 2022-11-09 salient_movieclip_wajd_Julian_202211_09123141.csv
Julian 2022-11-10 salient_movieclip_wajd_Julian_202211_10123036.csv
Julian 2022-11-10 salient_movieclip_wajd_Julian_202211_10124006.csv
Julian 2022-11-10 salient_movieclip_wajd_Julian_202211_10123524.csv
Julian 2022-11-14 salient_movieclip_wajd_Julian_202211_14123935.csv
Julian 2022-11-14 salient_movieclip_wajd_Julian_202211_14125238.csv
Julian 2022-11-14 salient_movieclip_wajd_Julian_202211_14124621.csv
Julian 2022-11-14 salient_movieclip_wajd_Julian_202211_14123233.csv
Julian 2022-11-15 salient_movieclip_wajd_Julian_202211_15124045.csv
Julian 2022-11-15 salient_movieclip_wajd_Julian_202211_15124544.csv
Julian 2022-11-18 salient_movieclip_wajd_Julian_202211_18114316.csv
Julian 2022-11-18 salient_movieclip_wajd_Julian_202211_18112922.csv
Julian 2022-11-22 salient_movieclip_wajd_Julian_202211_22114906.csv
Julian 2022-11-22 salient_movieclip_wajd_Julian_202211_22113628.csv
Julian 2022-11-22 salient_movieclip_wajd_Julian_202211_22113157.csv
Julian 2022-11-24 salient_movieclip_wajd_Julian_202211_24114351.csv
Julian 2022-11-24 salient_movieclip_wajd_Julian_202211_24113848.csv
Julian 2022-11-24 salient_movieclip_wajd_Julian_202211_24113402.csv
Julian 2022-11-25 salient_movieclip_wajd_Julian_202211_25122855.csv
Julian 2022-11-25 salient_movieclip_wajd_Julian_202211_25124320.csv
Julian 2022-11-25 salient_movieclip_wajd_Julian_202211_25123647.csv
Julian 2022-11-28 salient_movieclip_wajd_Julian_202211_28114904.csv
Julian 2022-11-28 salient_movieclip_wajd_Julian_202211_28115301.csv
Julian 2022-11-28 salient_movieclip_wajd_Julian_202211_28115742.csv
Julian 2022-11-30 salient_movieclip_wajd_Julian_202211_30124228.csv
Julian 2022-11-30 salient_movieclip_wajd_Julian_202211_30125137.csv
Julian 2022-11-30 salient_movieclip_wajd_Julian_202211_30124813.csv
Julian 2022-12-05 salient_movieclip_wajd_Julian_202212_05130732.csv
Julian 2022-12-05 salient_movieclip_wajd_Julian_202212_05131318.csv
Julian 2022-12-05 salient_movieclip_wajd_Julian_202212_05131723.csv
Julian 2022-12-05 salient_movieclip_wajd_Julian_202212_05130506.csv
Julian 2022-12-06 salient_movieclip_wajd_Julian_202212_06130602.csv
Julian 2022-12-06 salient_movieclip_wajd_Julian_202212_06130304.csv
Julian 2022-12-06 salient_movieclip_wajd_Julian_202212_06131334.csv
Julian 2022-12-08 salient_movieclip_wajd_Julian_202212_08130530.csv
Julian 2022-12-08 salient_movieclip_wajd_Julian_202212_08130435.csv
Julian 2022-12-08 salient_movieclip_wajd_Julian_202212_08130611.csv
Julian 2022-12-08 salient_movieclip_wajd_Julian_202212_08130340.csv
Julian 2022-12-09 salient_movieclip_wajd_Julian_202212_09124559.csv
Julian 2022-12-09 salient_movieclip_wajd_Julian_202212_09123510.csv
Julian 2022-12-09 salient_movieclip_wajd_Julian_202212_09124505.csv
Julian 2022-12-12 salient_movieclip_wajd_Julian_202212_12122441.csv
Julian 2022-12-12 salient_movieclip_wajd_Julian_202212_12123749.csv
Julian 2022-12-12 salient_movieclip_wajd_Julian_202212_12123055.csv
Julian 2022-12-13 salient_movieclip_wajd_Julian_202212_13124515.csv
Julian 2022-12-13 salient_movieclip_wajd_Julian_202212_13130015.csv
Julian 2022-12-13 salient_movieclip_wajd_Julian_202212_13130109.csv
Julian 2022-12-14 salient_movieclip_wajd_Julian_202212_14123637.csv
Julian 2022-12-14 salient_movieclip_wajd_Julian_202212_14125220.csv
