subj,date,trialcsv,muscimol
Julian,2022-09-14,salient_movieclip_wajd_Julian_202209_14121132.csv,False
Julian,2022-09-14,salient_movieclip_wajd_Julian_202209_14121658.csv,False
Julian,2022-09-15,salient_movieclip_wajd_Julian_202209_15124300.csv,False
Julian,2022-09-15,salient_movieclip_wajd_Julian_202209_15123727.csv,False
Julian,2022-09-26,salient_movieclip_wajd_Julian_202209_26124500.csv,False
Julian,2022-09-26,salient_movieclip_wajd_Julian_202209_26125039.csv,False
Julian,2022-09-27,salient_movieclip_wajd_Julian_202209_27132310.csv,False
Julian,2022-09-27,salient_movieclip_wajd_Julian_202209_27131656.csv,False
Julian,2022-09-28,salient_movieclip_wajd_Julian_202209_28124536.csv,False
Julian,2022-09-28,salient_movieclip_wajd_Julian_202209_28124639.csv,False
Julian,2022-09-30,salient_movieclip_wajd_Julian_202209_30115133.csv,False
Julian,2022-10-03,salient_movieclip_wajd_Julian_202210_03122753.csv,False
Julian,2022-10-03,salient_movieclip_wajd_Julian_202210_03122445.csv,False
Julian,2022-10-04,salient_movieclip_wajd_Julian_202210_04122920.csv,False
Julian,2022-10-04,salient_movieclip_wajd_Julian_202210_04123551.csv,False
Julian,2022-10-05,salient_movieclip_wajd_Julian_202210_05142235.csv,False
Julian,2022-10-05,salient_movieclip_wajd_Julian_202210_05142143.csv,False
Julian,2022-10-06,salient_movieclip_wajd_Julian_202210_06113221.csv,False
Julian,2022-10-06,salient_movieclip_wajd_Julian_202210_06113152.csv,False
Julian,2022-10-06,salient_movieclip_wajd_Julian_202210_06112900.csv,False
Julian,2022-10-07,salient_movieclip_wajd_Julian_202210_07121923.csv,False
Julian,2022-10-07,salient_movieclip_wajd_Julian_202210_07122647.csv,False
Julian,2022-10-11,salient_movieclip_wajd_Julian_202210_11123618.csv,False
Julian,2022-10-11,salient_movieclip_wajd_Julian_202210_11124349.csv,False
Julian,2022-10-12,salient_movieclip_wajd_Julian_202210_12135807.csv,False
Julian,2022-10-12,salient_movieclip_wajd_Julian_202210_12135837.csv,False
Julian,2022-10-12,salient_movieclip_wajd_Julian_202210_12135215.csv,False
Julian,2022-10-13,salient_movieclip_wajd_Julian_202210_13141935.csv,False
Julian,2022-10-13,salient_movieclip_wajd_Julian_202210_13141842.csv,False
Julian,2022-10-14,salient_movieclip_wajd_Julian_202210_14133740.csv,False
Julian,2022-10-14,salient_movieclip_wajd_Julian_202210_14133651.csv,False
Julian,2022-10-18,salient_movieclip_wajd_Julian_202210_18131423.csv,False
Julian,2022-10-18,salient_movieclip_wajd_Julian_202210_18130721.csv,False
Julian,2022-10-20,salient_movieclip_wajd_Julian_202210_20123014.csv,False
Julian,2022-10-20,salient_movieclip_wajd_Julian_202210_20123108.csv,False
Julian,2022-10-21,salient_movieclip_wajd_Julian_202210_21124339.csv,False
Julian,2022-10-21,salient_movieclip_wajd_Julian_202210_21123439.csv,False
Julian,2022-10-24,salient_movieclip_wajd_Julian_202210_24124333.csv,False
Julian,2022-10-24,salient_movieclip_wajd_Julian_202210_24124255.csv,False
Julian,2022-10-25,salient_movieclip_wajd_Julian_202210_25123905.csv,False
Julian,2022-10-25,salient_movieclip_wajd_Julian_202210_25123120.csv,False
Julian,2022-10-25,salient_movieclip_wajd_Julian_202210_25124640.csv,False
Julian,2022-10-26,salient_movieclip_wajd_Julian_202210_26131513.csv,False
Julian,2022-10-26,salient_movieclip_wajd_Julian_202210_26130612.csv,False
